CDI_cat,word,context
NA,play_pens,play
NA,played,play
NA,playing,play
NA,plays,play
vehicles,pushchair,play
NA,pushchairs,play
action_words,ride,play
NA,rides,play
NA,riding,play
NA,rode,play
NA,sang,play
action_words,sing,play
NA,singing,play
NA,sings,play
NA,sung,play
action_words,swing,play
NA,swinging,play
NA,teddies,play
toys,teddy,play
toys,teddy_bear,play
NA,teddy_bears,play
NA,threw,play
action_words,throw,play
NA,throwing,play
NA,throws,play
toys,toy,play
NA,toys,play
vehicles,train,play
NA,trains,play
vehicles,aeroplane,
quantifiers,again,
quantifiers,all,
animals,animal,
quantifiers,another,
people,aunt,
prepositions,away,
animal_sounds,baa_baa,
people,baby,
prepositions,back,
outside,beach,
animals,bear,
animals,bee,
vehicles,bicycle,
descriptive_words,big,
vehicles,bike,
household_items,bin,
animals,bird,
action_words,bite,
action_words,blow,
descriptive_words,blue,
vehicles,boat,
toys,book,
clothes,boot,
clothes,boots,
household_items,box,
people,boy,
action_words,break,
action_words,bring,
descriptive_words,broken,
household_items,broom,
people,brother,
toys,bubble,
outside,bucket,
action_words,bump,
animals,bunny,
vehicles,bus,
animals,butterfly,
games_and_routines,bye_bye,
action_words,call,
vehicles,car,
descriptive_words,careful,
action_words,carry,
animals,cat,
action_words,catch,
furniture_and_rooms,chair,
extra_words,chase,
animals,chicken,
people,child,
animal_sounds,choo_choo,
outside,church,
household_items,clock,
action_words,close,
clothes,coat,
animal_sounds,cockadoodledoo,
food_and_drink,coffee,
descriptive_words,cold,
furniture_and_rooms,cooker,
furniture_and_rooms,cot,
animals,cow,
action_words,cut,
people,daddy,
descriptive_words,dark,
time,day,
animals,deer,
descriptive_words,dirty,
people,doctor,
animals,dog,
games_and_routines,don't,
animals,donkey,
furniture_and_rooms,door,
prepositions,down,
action_words,draw,
furniture_and_rooms,drawer,
action_words,drive,
action_words,drop,
animals,duck,
household_items,dummy,
body_parts,ear,
animals,elephant,
descriptive_words,empty,
body_parts,eye,
action_words,fall,
descriptive_words,fast,
action_words,find,
descriptive_words,fine,
action_words,finish,
animals,fish,
outside,flower,
people,friend,
animals,frog,
furniture_and_rooms,garage,
outside,garden,
descriptive_words,gentle,
action_words,get,
animals,giraffe,
people,girl,
action_words,give,
household_items,glass,
clothes,glasses,
action_words,go,
descriptive_words,good,
animals,goose,
people,grandma,
people,grandpa,
descriptive_words,green,
animal_sounds,grr,
household_items,hammer,
descriptive_words,happy,
descriptive_words,hard,
action_words,have,
action_words,hear,
games_and_routines,hello,
action_words,help,
pronouns,her,
games_and_routines,hi,
pronouns,his,
action_words,hit,
household_items,hoover,
animals,horse,
descriptive_words,hot,
outside,house,
question_words,how,
action_words,hurry,
pronouns,I,
prepositions,in,
prepositions,inside,
pronouns,it,
household_items,jug,
household_items,key,
action_words,kick,
furniture_and_rooms,kitchen,
animals,kitten,
action_words,know,
people,lady,
animals,lamb,
household_items,lamp,
time,later,
household_items,light,
action_words,like,
animals,lion,
descriptive_words,little,
furniture_and_rooms,living_room,
action_words,look,
vehicles,lorry,
action_words,love,
action_words,make,
people,man,
pronouns,me,
household_items,medicine,
animal_sounds,meow,
pronouns,mine,
household_items,money,
animals,monkey,
animal_sounds,moo,
outside,moon,
quantifiers,more,
time,morning,
vehicles,motor-bike,
animals,mouse,
body_parts,mouth,
household_items,mug,
people,mummy,
pronouns,my,
body_parts,nail,
people,nanny,
clothes,necklace,
descriptive_words,nice,
games_and_routines,no,
quantifiers,none,
quantifiers,not,
time,now,
prepositions,off,
descriptive_words,old,
prepositions,on,
action_words,open,
quantifiers,other,
animal_sounds,ouch,
prepositions,out,
outside,outside,
furniture_and_rooms,oven,
animals,owl,
household_items,paper,
outside,park,
outside,party,
toys,pen,
animals,penguin,
household_items,penny,
people,people,
people,person,
household_items,picture,
animals,pig,
vehicles,plane,
household_items,plant,
games_and_routines,please,
people,policeman,
animals,pony,
outside,pool,
descriptive_words,pretty,
action_words,pull,
animals,puppy,
household_items,purse,
action_words,push,
action_words,put,
animal_sounds,quack,
animals,rabbit,
outside,rain,
action_words,read,
descriptive_words,red,
furniture_and_rooms,rocking_chair,
household_items,rubbish,
action_words,run,
quantifiers,same,
action_words,say,
outside,school,
household_items,scissors,
action_words,scratch,
action_words,see,
furniture_and_rooms,settee,
animals,sheep,
outside,shop,
action_words,show,
action_words,shut,
furniture_and_rooms,sink,
people,sister,
outside,sky,
outside,slide,
extra_words,smell,
action_words,smile,
outside,snow,
furniture_and_rooms,sofa,
descriptive_words,soft,
quantifiers,some,
outside,spade,
clothes,specs,
animals,spider,
animals,squirrel,
furniture_and_rooms,stairs,
outside,star,
outside,stone,
action_words,stop,
furniture_and_rooms,stove,
outside,sun,
outside,swing,
furniture_and_rooms,table,
action_words,take,
people,teacher,
household_items,telephone,
action_words,tell,
games_and_routines,thank_you,
pronouns,that,
prepositions,there,
pronouns,this,
animals,tiger,
time,today,
time,tomorrow,
body_parts,tongue,
time,tonight,
body_parts,tooth,
household_items,toothbrush,
outside,tree,
vehicles,truck,
animals,turkey,
animals,turtle,
animal_sounds,uh_oh,
people,uncle,
prepositions,under,
prepositions,up,
household_items,vacuum,
animal_sounds,vroom,
games_and_routines,wait,
action_words,walk,
outside,wall,
games_and_routines,want_to,
action_words,watch,
household_items,watch,
food_and_drink,water,
outside,water,
question_words,what,
question_words,when,
question_words,where,
question_words,who,
question_words,why,
furniture_and_rooms,window,
animal_sounds,woof,
outside,work,
action_words,write,
descriptive_words,yellow,
games_and_routines,yes,
pronouns,you,
pronouns,your,
outside,zoo,
