word	phon	N.syl	freq.orth
margarine	"m#-_@-'rin	3	1
mark	'm#k	1	2
mat	'm{t	1	6
match	'm{J	1	1
mates	'm1ts	1	1
mats	'm{ts	1	1
matter	'm{-t@R	2	71
may	'm1	1	3
maybe	'm1-bi	2	2
me	'mi	1	227
meal	'mil	1	1
mean	'min	1	5
means	'minz	1	3
measy	'mi-zI	2	0
medium	'mi-dj@m	2	1
meringue	m@-'r{N	2	9
mess	'mEs	1	7
messed	'mEst	1	2
messing	'mE-sIN	2	2
messy	'mE-sI	2	2
microphone	'm2-kr@-f5n	3	2
middle	'mI-dP	2	1
midwife	'mId-w2f	2	2
might	'm2t	1	4
mike	'm2k	1	1
milk	'mIlk	1	20
milky	'mIl-kI	2	3
mind	'm2nd	1	8
minute	'mI-nIt	2	34
minutes	'mI-nIts	2	10
miringue	m@-'r{N	2	0
misery	'mI-z@-rI	3	4
miss	'mIs	1	11
missed	'mIst	1	1
mix	'mIks	1	3
mixing	'mIk-sIN	2	1
mm	'm	1	0
moan	'm5n	1	1
moaning	'm5-nIN	2	1
mobile	'm5-b2l	2	6
mobile's	'm5-b2lz	2	1
moment	'm5-m@nt	2	5
monday	'mVn-dI	2	1
money	'mV-nI	2	0
monkey	'mVN-kI	2	24
monkey's	'mVN-kIz	2	2
mood	'mud	1	1
moose	'mus	1	2
mop	'mQp	1	2
more	'm$R	1	67
morning	'm$-nIN	2	16
most	'm5st	1	1
mother	'mV-D@R	2	2
mouse	'm6s	1	1
mouth	'm6T	1	29
mouthful	'm6T-fUl	2	1
move	'muv	1	10
mr	'mI-st@R	2	4
much	'mVJ	1	13
mucky	'mV-kI	2	5
mum	'mVm	1	71
mum's	'mVmz	1	8
mumma	'mV-m@	2	2
mummy	'mV-mI	2	67
mummy'll	'mV-mI-@l	3	1
mummy's	'mV-mIz	2	40
mums	'mVmz	1	1
music	'mju-zIk	2	2
must	'mVst	1	10
my	'm2	1	53
myron	'2-r@n	2	15
myron's	'2-r@nz	2	4
n't	Ht	1	1
n'ta	H-t@	2	1
nails	'n1lz	1	3
nap	'n{p	1	5
nappies	'n{-pIz	2	2
napps	'n{ps	1	0
nappy	'n{-pI	2	0
nasty	'n#-stI	2	14
natasha	n@-'t#-S@	3	1
natasha's	n@-'t#-S@z	3	1
natural	'n{-Jr@l	2	1
naughty	'n$-tI	2	9
near	'n7R	1	1
nearly	'n7-lI	2	36
neasy	'ni-zI	2	1
neck	'nEk	1	4
necklace	'nEk-lIs	2	1
need	'nid	1	22
needs	'nidz	1	2
never	'nE-v@R	2	10
nevermind	'nE-v@R-'m2nd	3	0
new	'nju	1	8
newspaper	'njus-"p1-p@R	3	3
newspapers	'njus-"p1-p@z	3	2
next	'nEkst	1	8
nibble	'nI-bP	2	4
nice	'n2s	1	186
nicely	'n2s-lI	2	4
nicer	'n2-s@R	2	1
nicky	'nI-kI	2	1
night	'n2t	1	6
nightnight	'n2t-'n2t	2	0
nine	'n2n	1	2
no	'n5	1	353
nobody's	'n5-b@-dIz	3	1
noise	'n4z	1	62
noises	'n4-zIz	2	5
none	'nVn	1	4
normally	'n$-m@-lI	3	1
nose	'n5z	1	20
nosey	'n5-zI	2	0
nosh	'nQS	1	4
not	'nQt	1	200
nother	'nV-D@R	2	0
nothing	'nV-TIN	2	7
notice	'n5-tIs	2	3
nottingham	'nQ-tIN-@m	3	0
now	'n6	1	183
nowadays	'n6-@-d1z	3	1
nuddy	'nV-dI	2	3
nuisance	'nju-sHs	2	1
o'clock	@-'klQk	2	1
occupied	'Q-kjU-p2d	3	1
of	@v	1	82
off	'Qf	1	54
oggle	'5-gP	2	2
oh	'5	1	1084
oh-oh	'5-'5	2	0
oi	'4	1	0
oil	'4l	1	1
okay	"5-'k1	2	12
old	'5ld	1	18
on	'Qn	1	738
once	'wVns	1	2
one	'wVn	1	102
one'll	'V-nP	2	1
one's	'wVnz	1	2
ones	'wVnz	1	2
only	'5n-lI	2	23
ooh	'u	1	0
ooops	'ups	1	0
oop	'up	1	17
oops	'Ups	1	13
oops-a-daisy	"Ups-@-'d1-zI	4	0
open	'5-p@n	2	7
or	@R	1	17
orchestra	'$-kIs-tr@	3	1
other	'V-D@R	2	14
ought	'$t	1	0
ounces	'6n-sIz	2	1
our	'6-@R	2	4
out	'6t	1	93
outside	"6t-'s2d	2	12
oven	'V-vH	2	3
over	'5-v@R	2	76
ow	'6	1	4
own	'5n	1	5
packet	'p{-kIt	2	1
packing	'p{-kIN	2	1
paddy	'p{-dI	2	9
page	'p1_	1	2
painful	'p1n-fUl	2	2
pains	'p1nz	1	4
pants	'p{nts	1	4
paper	'p1-p@R	2	1
papers	'p1-p@z	2	1
pardon	'p#-dH	2	11
parents	'p8-r@nts	2	1
parrot	'p{-r@t	2	13
parrot's	'p{-r@ts	2	1
parrots	'p{-r@ts	2	1
past	'p#st	1	2
pastry	'p1s-trI	2	8
pat	'p{t	1	1
pat-a-cake	'p{-tI-'k1k	3	0
patch	'p{J	1	14
patting	'p{-tIN	2	2
paws	'p$z	1	3
peace	'pis	1	2
peck	'pEk	1	1
peculiar	pI-'kju-lj@R	3	1
peed	'pid	1	1
peeing	'pi-IN	2	1
peek-a-boo	'pi-k@-'bu	3	0
peek-boo	'pi-'bu	2	0
penny	'pE-nI	2	4
people	'pi-pP	2	5
peoples	'pi-pPz	2	1
perch	'p3J	1	2
perform	p@-'f$m	2	1
performing	p@-'f$-mIN	3	1
perhaps	p@-'h{ps	2	1
person	'p3-sH	2	1
persuade	p@-'sw1d	2	1
pet	'pEt	1	32
petal	'pE-tP	2	6
phew	'fju	1	1
phone	'f5n	1	2
pick	'pIk	1	2
picked	'pIkt	1	1
pictures	'pIk-J@z	2	2
pie	'p2	1	22
pin	'pIn	1	1
pinch	'pInJ	1	1
pinching	'pIn-JIN	2	2
place	'pl1s	1	1
plants	'pl#nts	1	1
plastic	'pl{-stIk	2	1
play	'pl1	1	65
playing	'pl1-IN	2	4
playmate	'pl1-m1t	2	0
plays	'pl1z	1	1
please	'pliz	1	9
pleased	'plizd	1	1
plenty	'plEn-tI	2	4
plug	'plVg	1	2
point	'p4nt	1	3
poke	'p5k	1	3
poley	'p5-lI	2	0
polly	'pQ-lI	2	3
polly'd	'pQ-lId	2	1
polly's	'pQ-lIz	2	5
pollyleemy	'pQ-lI-'li-mI	4	1
pony	'p5-nI	2	2
pooh	'phu	1	5
poopsie	'pup-sI	2	1
poor	'p$R	1	12
pop	'pQp	1	6
popeye	'pQp-2	2	1
poppers	'pQ-p@z	2	1
poppit	'pQ-pIt	2	1
pops	'pQps	1	4
potimus	'pQ-t@-m@s	3	0
pots	'pQts	1	1
potty	'pQ-tI	2	0
pound	'p6nd	1	2
pour	'p$R	1	3
powder	'p6-d@R	2	2
praise	'pr1z	1	1
pram	'pr{m	1	16
precious	'prE-S@s	2	7
pregnant	'prEg-n@nt	2	1
present	'prE-zHt	2	1
presto	'prE-st5	2	1
pretend	prI-'tEnd	2	2
pretty	'prI-tI	2	21
price	'pr2s	1	1
privilege	'prI-vI-lI_	3	2
problems	'prQ-bl@mz	2	1
prop	'prQp	1	1
proper	'prQ-p@R	2	2
properly	'prQ-p@-lI	3	2
prove	'pruv	1	2
proving	'pru-vIN	2	1
pudding	'pU-dIN	2	6
pull	'pUl	1	11
pulling	'pU-lIN	2	7
punch	'pVnJ	1	8
pup	'pVp	1	2
puppet	'pV-pIt	2	2
push	'pUS	1	16
pushed	'pUSt	1	1
puss	'pUs	1	1
pussy	'pU-sI	2	2
pussycat	'pU-sI-k{t	3	4
put	'pUt	1	85
putting	'pU-tIN	2	7
quack	'kw{k	1	29
quick	'kwIk	1	4
quiet	'kw2-@t	2	5
quite	'kw2t	1	12
rabbit	'r{-bIt	2	3
radio	'r1-dI-5	3	1
rain	'r1n	1	5
raining	'r1-nIN	2	1
rarely	'r8-lI	2	1
rascal	'r#s-k@l	2	5
raspberry	'r#z-b@-rI	3	3
rattle	'r{-tP	2	13
rattles	'r{-tPz	2	1
rattling	'r{-tP-IN	3	3
reach	'riJ	1	5
read	'rid	1	3
reading	'ri-dIN	2	1
ready	'rE-dI	2	29
real	'r7l	1	2
realized	'r7-l2zd	2	1
really	'r7-lI	2	35
recipe	'rE-sI-pI	3	4
reckon	'rE-k@n	2	2
record	'rE-k$d	2	1
red	'rEd	1	5
reflection	rI-'flEk-SH	3	0
relax	rI-'l{ks	2	4
remember	rI-'mEm-b@R	3	1
rest	'rEst	1	5
restless	'rEst-lIs	2	1
revolting	rI-'v5l-tIN	3	1
rewind	'rI-'w2nd	2	1
ribbon	'rI-b@n	2	1
rich	'rIJ	1	1
rid	'rId	1	3
right	'r2t	1	52
ring	'rIN	1	2
rip	'rIp	1	1
ripped	'rIpt	1	1
roley	'r5-lI	2	0
roll	'r5l	1	16
rolling	'r5-lIN	2	1
romans	'r5-m@nz	2	1
roof	'ruf	1	1
room	'rum	1	10
rotten	'rQ-tH	2	1
rough	'rVf	1	3
round	'r6nd	1	30
rub	'rVb	1	9
rubbers	'rV-b@z	2	3
rubbing	'rV-bIN	2	1
rude	'rud	1	2
rug	'rVg	1	1
rules	'rulz	1	1
rumbling	'rVm-blIN	2	1
runs	'rVnz	1	0
rusk	'rVsk	1	19
rusky	'rVs-kI	2	0
sack	's{k	1	5
sackcloth	's{k-klQT	2	0
sad	's{d	1	2
said	'sEd	1	5
salad	's{-l@d	2	1
same	's1m	1	1
sang	's{N	1	1
satisfy	's{-tIs-f2	3	1
saturday	's{-t@-dI	3	0
saucepan	's$s-p@n	2	1
sausage	'sQ-sI_	2	3
saw	's$	1	2
say	's1	1	88
saying	's1-IN	2	27
says	's1z	1	8
scalp	'sk{lp	1	10
school	'skul	1	1
scream	'skrim	1	1
screaming	'skri-mIN	2	2
screwing	'skru-IN	2	2
scruffs	'skrVfs	1	1
sea	'si	1	1
seaside	'si-s2d	2	3
seatbelt	'sit-'bElt	2	1
second	'sE-k@nd	2	9
seconds	'sE-k@ndz	2	2
see	'si	1	140
seef	'sif	1	0
seeing	'si-IN	2	3
seen	'sin	1	20
self	'sElf	1	3
sell	'sEl	1	4
send	'sEnd	1	1
sending	'sEn-dIN	2	2
sent	'sEnt	1	1
serious	's7-r7s	2	2
servants	's3-v@nts	2	1
sew	's5	1	1
sewing	's5-IN	2	1
sh	S	1	0
shake	'S1k	1	18
shakes	'S1ks	1	2
shaking	'S1-kIN	2	1
shall	'S{l	1	73
shame	'S1m	1	14
shan't	'S#nt	1	1
sharp	'S#p	1	1
shawl	'S$l	1	1
she	'Si	1	108
she'll	'Sil	1	6
she's	'Siz	1	67
sheets	'Sits	1	2
shining	'S2-nIN	2	1
shirt	'S3t	1	3
shirts	'S3ts	1	0
shoes	'Suz	1	1
shoo	'Su	1	2
shoot	'Sut	1	2
shooting	'Su-tIN	2	1
should	'SUd	1	20
shoulder	'S5l-d@R	2	6
shouldn't	'SU-dHt	2	3
shout	'S6t	1	2
shouter	'S6-t@R	2	1
shouting	'S6-tIN	2	14
show	'S5	1	10
showing	'S5-IN	2	2
shrew	'Sru	1	1
shunting	'SVn-tIN	2	1
shush	'SUS	1	10
shut	'SVt	1	15
shy	'S2	1	1
sick	'sIk	1	13
sickly	'sIk-lI	2	1
sicky	'sI-kI	2	2
side	's2d	1	9
sides	's2dz	1	7
sigh	's2	1	4
silent	's2-l@nt	2	2
silly	'sI-lI	2	15
sing	'sIN	1	1
sister	'sI-st@R	2	1
sit	'sIt	1	35
sitting	'sI-tIN	2	7
sixteen	"sIks-'tin	2	1
size	's2z	1	3
sized	's2zd	1	2
skirt	'sk3t	1	5
sky	'sk2	1	1
sleep	'slip	1	42
sleeping	'sli-pIN	2	6
sleepy	'sli-pI	2	27
slept	'slEpt	1	4
slid	'slId	1	1
slide	'sl2d	1	2
slightest	'sl2-tIst	2	1
slip	'slIp	1	1
slipping	'slI-pIN	2	3
sloppy	'slQ-pI	2	2
slow	'sl5	1	2
smacking	'sm{-kIN	2	1
smell	'smEl	1	3
smelly	'smE-lI	2	3
smile	'sm2l	1	127
smiles	'sm2lz	1	37
smiling	'sm2-lIN	2	10
smurf	'sm3f	1	1
snails	'sn1lz	1	1
sneeze	'sniz	1	2
sneezies	'sni-zI	2	2
sneezing	'sni-zIN	2	1
snooze	'snuz	1	4
snoozing	'snu-zIN	2	1
snorting	'sn$-tIN	2	2
snorty	'sn$-tI	2	1
so	's5	1	228
so's	's5z	1	1
soaked	's5kt	1	1
soaking	's5-kIN	2	3
soap	's5p	1	4
soapy	's5-pI	2	4
sober	's5-b@R	2	6
sock	'sQk	1	2
socks	'sQks	1	1
soft	'sQft	1	7
soiled	's4ld	1	1
solids	'sQ-lIdz	2	2
somat	's5-mQt	2	6
somat's	's5-mQts	2	1
some	s@m	1	89
somebody	'sVm-b@-dI	3	2
someone	'sVm-wVn	2	0
something	'sVm-TIN	2	25
somewhere	'sVm-w8R	2	3
song	'sQN	1	2
soon	'sun	1	7
sore	's$R	1	4
sorry	'sQ-rI	2	11
soul	's5l	1	3
sound	's6nd	1	4
sounds	's6ndz	1	1
spin	'spIn	1	1
spinach	'spI-nI_	2	1
spit	'spIt	1	4
splash	'spl{S	1	21
splashing	'spl{-SIN	2	3
splish	'splIS	1	6
splosh	'splQS	1	3
sponge	'spVn_	1	2
sponser	'spQn-s@R	2	0
sports	'sp$ts	1	1
spuddies	'spV-dIz	2	1
spuds	'spVdz	1	1
squeaky	'skwi-kI	2	1
squeeze	'skwiz	1	1
squiggly	'skwI-gP-I	3	1
stairs	'st8z	1	1
stand	'st{nd	1	9
standing	'st{n-dIN	2	2
stands	'st{ndz	1	1
star	'st#R	1	2
staring	'st8-rIN	2	1
start	'st#t	1	5
starts	'st#ts	1	1
starved	'st#vd	1	1
stay	'st1	1	2
staying	'st1-IN	2	1
steak	'st1k	1	1
stern	'st3n	1	2
steve	'stiv	1	1
stew	'stju	1	2
stick	'stIk	1	5
sticking	'stI-kIN	2	1
sticks	'stIks	1	1
stiff	'stIf	1	1
still	'stIl	1	36
stockport	'stQk-p$t	2	1
stomach	'stV-m@k	2	2
stone	'st5n	1	1
stop	'stQp	1	19
stopped	'stQpt	1	5
stories	'st$-rIz	2	15
story	'st$-rI	2	29
straight	'str1t	1	6
straighten	'str1-tH	2	1
strangle	'str{N-gP	2	1
strawberry	'str$-b@-rI	3	1
stretch	'strEJ	1	16
stretching	'strE-JIN	2	1
striped	'str2pt	1	1
strong	'strQN	1	9
struggle	'strV-gP	2	12
struggling	'strV-glIN	2	3
stuck	'stVk	1	5
stuff	'stVf	1	3
stupid	'stju-pId	2	1
substantial	s@b-'st{n-SP	3	0
such	'sVJ	1	9
suck	'sVk	1	12
sucked	'sVkt	1	2
suckin'	'sV-kIn	2	0
sucking	'sV-kIN	2	9
suds	'sVdz	1	4
suit	'sut	1	1
sun	'sVn	1	5
sunbathe	'sVn-b1D	2	1
sunhat	'sVn-'h{t	2	0
sunlight	'sVn-l2t	2	1
sunshine	'sVn-S2n	2	13
supper	'sV-p@R	2	2
suppose	s@-'p5z	2	2
supposed	s@-'p5zd	2	17
suprise	s@-'pr2z	2	0
sure	'S$R	1	12
surely	'S$-lI	2	2
surprise	s@-'pr2z	2	2
swallow	'swQ-l5	2	2
swan	'swQn	1	6
swearing	'sw8-rIN	2	1
sweater's	'swE-t@z	2	1
sweatheart	'swit-h#t	2	0
sweeper	'swi-p@R	2	2
sweepers	'swi-p@z	2	3
sweeps	'swips	1	4
sweepy	'swi-pI	2	4
sweet	'swit	1	1
sweetheart	'swit-h#t	2	45
sweetie	'swi-tI	2	5
sweetpea	'swit-pI	2	3
swim	'swIm	1	8
swimming	'swI-mIN	2	8
swing	'swIN	1	5
swinging	'swI-NIN	2	1
sylvester	sil-'vE-st@R	3	1
system	'sI-st@m	2	1
t'ave	't{v	1	0
t-shirt	'ti-'S3t	2	0
ta	't#	1	2
ta-ta's	't#-'t#	2	0
tail	't1l	1	3
take	't1k	1	43
taken	't1-k@n	2	4
takes	't1ks	1	1
taking	't1-kIN	2	9
talc	't{lk	1	5
tale	't1l	1	3
tales	't1lz	1	4
talk	't$k	1	23
talking	't$-kIN	2	18
tape	't1p	1	1
taste	't1st	1	5
tastes	't1sts	1	3
tasting	't1-stIN	2	1
tasty	't1-stI	2	3
tea	'ti	1	13
tea-time	'ti-t2m	2	0
teach	'tiJ	1	1
teaches	'ti-JIz	2	1
teaching	'ti-JIN	2	1
teapot	'ti-pQt	2	1
tears	't7z	1	8
teasing	'ti-zIN	2	3
ted	'tEd	1	5
teddy	'tE-dI	2	17
teddy's	'tE-dIz	2	4
teeth	'tiT	1	6
teething	'ti-DIN	2	4
teggypegs	'tE-dI-pEgz	3	2
telephone	'tE-lI-f5n	3	2
television	'tE-lI-"vI-ZH	4	3
tell	'tEl	1	156
telling	'tE-lIN	2	19
telly	'tE-lI	2	0
temper	'tEm-p@R	2	6
tempered	'tEm-p@d	2	1
ten	'tEn	1	2
tennis	'tE-nIs	2	8
terrible	'tE-r@-bP	3	3
terribly	'tE-r@-blI	3	2
than	D@n	1	7
thank	'T{Nk	1	0
that	'D{t	1	676
that'll	'D{-tP	2	3
that's	'D{ts	1	321
thats	'D{ts	1	0
the	D@	1	437
their	'D8	1	2
them	'DEm	1	51
then	'DEn	1	412
there	'D8R	1	813
there's	'D8z	1	117
theres	'D8z	1	0
these	'Diz	1	38
they	'D1	1	101
they'd	'D1d	1	1
they'll	'D1-@l	2	7
they're	'D1-@R	2	24
they've	'D1v	1	2
thicker	'TI-k@R	2	2
thing	'TIN	1	15
things	'TINz	1	10
think	'TINk	1	59
thinking	'TIN-kIN	2	12
thinks	'TINks	1	1
third	'T3d	1	1
thirsty	'T3-stI	2	4
this	'DIs	1	364
thomas	'tQ-m@s	2	1
those	'D5z	1	57
though	'D5	1	18
thought	'T$t	1	2
three	'Tri	1	12
throat	'Tr5t	1	3
through	'Tru	1	9
throw	'Tr5	1	5
throwing	'Tr5-IN	2	1
thu	'TV	1	0
thumb	'TVm	1	22
thumbs	'TVmz	1	4
thunder	'TVn-d@R	2	3
tickle	'tI-kP	2	123
tickles	'tI-kPz	2	10
tickling	'tI-klIN	2	5
ticklish	'tI-kP-IS	3	4
tickly	'tIk-lI	2	6
tickly-poo	'tIk-lI-'pu	3	0
ticks	'tIks	1	1
ticky	'tI-kI	2	25
tiddley	'tId-lI	2	0
tied	't2d	1	2
tight	't2t	1	3
till	'tIl	1	7
time	't2m	1	41
tin	'tIn	1	2
tiny	't2-nI	2	2
tired	't2-@d	2	43
tiredy	't2-@-dI	3	1
tis	'tIz	1	6
tissue	'tI-Su	2	3
tit	'tIt	1	3
tits	'tIts	1	1
to	t@	1	752
today	t@-'d1	2	56
toe	't5	1	1
toenails	't5-n1lz	2	2
toes	't5z	1	24
together	t@-'gE-D@R	3	3
told	't5ld	1	3
tomorrow	t@-'mQ-r5	3	3
tongue	'tVN	1	14
tonight	t@-'n2t	2	9
tons	'tVnz	1	1
too	'tu	1	39
took	'tUk	1	3
toot	'tut	1	3
tooth	'tuT	1	1
toothie's	'tu-Tiz	2	1
top	'tQp	1	3
tossles	'tQ-s@lz	2	0
touch	'tVJ	1	10
touching	'tV-JIN	2	1
tour	't9R	1	1
towel	't6-@l	2	8
toy	't4	1	3
toys	't4z	1	4
trai	'tr1	1	0
treasure	'trE-Z@R	2	16
treasuroooo	'trE-Z@-'ru	3	0
treazh	'trEZ	1	0
tree	'tri	1	1
trim	'trIm	1	2
trouble	'trV-bP	2	2
true	'tru	1	1
try	'tr2	1	25
trying	'tr2-IN	2	45
tub	'tVb	1	4
tuba	'tju-b@	2	0
tubby	'tV-bI	2	0
tuesday	'tjuz-dI	2	1
tum	'tVm	1	0
tumma	'tV-m@	2	1
tummy	'tV-mI	2	34
tummy'll	'tV-mI-@l	3	1
turn	't3n	1	13
turned	't3nd	1	1
turning	't3-nIN	2	1
tv	'ti-'vi	2	1
twelve	'twElv	1	1
twice	'tw2s	1	1
twist	'twIst	1	3
two	'tu	1	35
type	't2p	1	1
typical	'tI-pI-kP	3	2
ugh	'Vx	1	3
uh	'V	1	0
uh-hmm	'V-h@m	2	0
uh-huh	V-'hV	2	0
uncle	'VN-kP	2	1
unconsolable	'In-k@n-'s5-l@-bP	5	1
under	'Vn-d@R	2	18
underneath	"Vn-d@-'niT	3	0
underskirt	'Vn-d@R-'sk3t	3	2
undress	"Vn-'drEs	2	1
unhappy	Vn-'h{-pI	3	3
unintelligible	'Vn-In-'tE-lI-_@-bP	6	0
unsettled	"Vn-'sE-tPd	3	1
until	@n-'tIl	2	2
up	'Vp	1	216
ups	'Vps	1	1
ups-a-daisy	'Vps-@-'d1-zI	4	0
upset	Vp-'sEt	2	4
upside	'Vp-s2d	2	2
upstairs	"Vp-'st8z	2	7
us	'Vs	1	24
use	'jus	1	0
usually	'ju-Z@-lI	3	5
very	'vE-rI	2	27
vest	'vEst	1	4
vesty	'vE-stI	2	5
viking	'v2-kIN	2	1
vikings	'v2-kINz	2	1
violent	'v2-@-l@nt	3	2
visitors	'vI-zI-t@z	3	1
wages	'w1-_Iz	2	1
wait	'w1t	1	20
waiting	'w1-tIN	2	5
wake	'w1k	1	2
waking	'w1-kIN	2	2
walk	'w$k	1	20
walkies	'w$-kIz	2	1
walks	'w$ks	1	0
want	'wQnt	1	239
wanted	'wQn-tId	2	5
wanting	'wQn-tIN	2	1
wants	'wQnts	1	6
warm	'w$m	1	7
warning	'w$-nIN	2	1
was	w@z	1	110
wash	'wQS	1	25
washed	'wQSt	1	4
washing	'wQ-SIN	2	5
wasn't	'wQ-zHt	2	17
watch	'wQJ	1	22
watched	'wQJt	1	1
watching	'wQ-JIN	2	10
water	'w$-t@R	2	18
wave	'w1v	1	3
waving	'w1-vIN	2	1
way	'w1	1	38
ways	'w1z	1	2
we	'wi	1	403
we'd	'wid	1	2
we'll	'wil	1	32
we're	'w7R	1	36
we've	'wiv	1	24
wear	'w8R	1	1
weather	'wE-D@R	2	1
wednesday	'wEnz-dI	2	1
wee	'wi	1	28
weeks	'wiks	1	1
weewee	'wi-wi	2	0
weigh	'w1	1	2
weighed	'w1d	1	2
well	'wEl	1	147
went	'wEnt	1	8
were	'w3R	1	38
weren't	'w3nt	1	5
wet	'wEt	1	6
what	'wQt	1	559
what'll	'wQ-tP	2	2
what're	'wQ-t@R	2	9
what's	'wQts	1	328
what've	'wQ-t@v	2	1
when	'wEn	1	32
where	'w8R	1	84
where're	'w8-r@R	2	2
where's	'w8z	1	79
where've	'w8-r@v	2	3
whether	'wE-D@R	2	3
whey	'w1	1	1
which	'wIJ	1	1
while	'w2l	1	6
whiner	'w2-n@R	2	1
whites	'w2ts	1	1
whiz	'wIz	1	1
who	'hu	1	68
who're	'huR	1	1
who's	'huz	1	251
whoa	'w5	1	2
whole	'h5l	1	1
whoo	'hu	1	5
whoop	'wup	1	1
whoops	'wups	1	20
whoops-a-daisy	'wups-@-'d1-zI	4	0
whoopsie	'wup-sI	2	2
whos	'huz	1	0
whose	'huz	1	8
why	'w2	1	23
whyn't	'w2nt	1	0
wicked	'wI-kId	2	1
widdle	'wI-dP	2	2
wide	'w2d	1	6
wiggler	'wI-gP-@R	3	3
will	'wIl	1	66
win	'wIn	1	2
wind	'wInd	1	16
wind's	'w2ndz	1	1
windies	'wIn-dIz	2	20
window	'wIn-d5	2	7
windows	'wIn-d5z	2	1
windy	'wIn-dI	2	16
wings	'wINz	1	1
winking	'wIN-kIN	2	1
wipe	'w2p	1	8
wiped	'w2pt	1	3
wire	'w2-@R	2	2
wise	'w2z	1	1
wish	'wIS	1	5
with	'wID	1	163
without	wI-'D6t	2	4
wobble	'wQ-bP	2	3
woke	'w5k	1	2
woken	'w5-k@n	2	5
won't	'w5nt	1	29
wonder	'wVn-d@R	2	7
wondering	'wVn-d@-rIN	3	3
work	'w3k	1	11
working	'w3-kIN	2	10
works	'w3ks	1	1
world	'w3ld	1	2
worried	'wV-rId	2	2
worry	'wV-rI	2	2
worst	'w3st	1	1
worth	'w3T	1	2
wotsiting	'wQt-sI-tIN	3	0
would	'wUd	1	25
wouldn't	'wU-dHt	2	8
wrap	'r{p	1	2
wrestle	'rE-sP	2	2
wrestling	'rE-slIN	2	1
wriggler	'rI-gP-@R	3	2
wrong	'rQN	1	33
ya	j@	1	221
yawn	'j$n	1	14
yeah	'j8	1	44
years	'j7z	1	1
yellow	'jE-l5	2	7
yes	'jEs	1	1054
yesterday	'jE-st@-dI	3	5
yet	'jEt	1	9
you	'ju	1	2505
you'd	'jud	1	14
you'll	'jul	1	35
you're	'j9R	1	293
you've	'juv	1	138
young	'jVN	1	6
your	'j$R	1	660
yours	'j$z	1	11
yourself	j$-'sElf	2	20
yum	'jVm	1	20
zee	'zi	1	1
zunc	'zVNk	1	1
mummie	'mV-mI	2	210
mummie's	'mV-mIz	2	120
mummie'll	'mV-mI-@l	3	0
tellie	'tE-lI	2	1
handie	'h{n-dI	2	2
pottie	'pQ-tI	2	2
bathie	'b#-TI	2	1
ruskie	'rVs-kI	2	1
headie	'hE-dI	2	1
chinnie	'JI-nI	2	11
hankie	'h{N-kI	2	1
nappie	'n{-pI	2	50
drinkie	'drIN-kI	2	1
rolly	'r5-lI	2	3
rollie	'r5-lI	2	0
polly	'p5-lI	2	3
pollie	'p5-lI	2	0
deary	'd7-rI	2	0
hiccough	'hI-kVp	2	4
hiccoughs	'hI-kVps	2	8
poo	'phu	1	13
lew	'lu	1	0
&hmm	'hF	1	288
&er	'3	1	2
&eh	'1	1	249
&ha	'h#	1	6
&mm	'm	1	324
&ah	'#	1	66
&uh	'V	1	3
&hah	'h#	1	9
whee	'wi	1	63
treas	'trEZ	1	31
hee	'hi	1	6
oo	'u	1	2
