word	phon
bye-bye	"b2-'b2
c'mon	k@-'mQn
cable	'k1-bP
cake	'k1k
cakes	'k1ks
called	'k$ld
calm	'k#m
came	'k1m
camera	'k{-m@-r@
can	k@n
can't	'k#nt
car	'k#R
card	'k#d
cardigan	'k#-dI-g@n
care	'k8R
careful	'k8-fUl
cares	'k8z
carpet	'k#-pIt
carry	'k{-rI
carrycot	'k{-rI-kQt
carrying	'k{-rI-IN
cartoon	k#-'tun
castle	'k#-sP
castor	'k#-st@R
cat	'k{t
cats	'k{ts
caught	'k$t
cause	k@z
cement	sI-'mEnt
center	'sEn-t@R
certain	's3-tH
cha	J@
chair	'J8R
chair's	'J8z
chance	'J#ns
change	'J1n_
changed	'J1n_d
changing	'J1n-_IN
charles	'J#lz
cheek	'Jik
cheeks	'Jiks
cheeky	'Ji-kI
chew	'Ju
chewin'	'Ju-In
chewing	'Ju-IN
chicken	'JI-kIn
chilly	'JI-lI
chime	'J2m
chin	'JIn
chinny	'JI-nI
chinywinywiny	'JI-nI-'wI-nI
choice	'J4s
choke	'J5k
choked	'J5kt
chops	'JQps
chou	'J6
chris	'krIs
christ	'kr2st
christopher	'krIs-t@-f@r
christopher's	'krIs-t@-f@rz
chubby	'JV-bI
chuckles	'JV-kPz
chucky	'JV-kI
church	'J3J
clap	'kl{p
clark	'kl#k
clean	'klin
clever	'klE-v@R
clevey	'klE-vI
climb	'kl2m
climbing	'kl2-mIN
clinic	'klI-nIk
closed	'kl5zd
clothes	'kl5Dz
cob	'kQb
coffee	'kQ-fI
cold	'k5ld
colors	'kV-l@z
come	'kVm
comes	'kVmz
comin	'kV-mIn
coming	'kV-mIN
compete	k@m-'pit
complain	k@m-'pl1n
complaining	k@m-'pl1-nIN
complains	k@m-'pl1nz
complaints	k@m-'pl1nts
concentrate	'kQn-s@n-tr1t
concentrating	'kQn-s@n-tr1-tIN
conditions	k@n-'dI-SHz
conduct	k@n-'dVkt
confused	k@n-'fjuzd
contact	'kQn-t{kt
contemplating	'kQn-tEm-pl1-tIN
cooing	'ku-IN
cook	'kUk
cooking	'kU-kIN
copying	'kQ-pI-IN
cor	'k$R
cos	k@z
cosy	'k5-zI
cot	'kQt
cough	'kQf
coughs	'kQfs
could	k@d
countrymen	'kVn-trI-m@n
couple	'kV-pP
course	'k$s
cover	'kV-v@R
covered	'kV-v@d
coy	'k4
cradle	'kr1-dP
crawl	'kr$l
crawling	'kr$-lIN
cream	'krim
creamy	'kri-mI
crease	'kris
cricket	'krI-kIt
critical	'krI-tI-kP
crocodile	'krQ-k@-d2l
crocodile's	'krQ-k@-d2lz
crocodiles	'krQ-k@-d2lz
cross	'krQs
crosspatch	'krQs-p{J
cruel	'kr9l
crumbs	'krVmz
crunch	'krVnJ
cry	'kr2
crying	'kr2-IN
cuddle	'kV-dP
cup	'kVp
cupboard	'kV-b@d
cuppa	'kV-p@
cups	'kVps
cupsy	'kVp-sI
curlies	'k3-lIz
curls	'k3lz
curly	'k3-lI
curtains	'k3-tHz
curtsy	'k3t-sI
cut	'kVt
cycling	's2-klIN
d'you	'djU
dad	'd{d
dad's	'd{dz
daddies	'd{-dIz
daddy	'd{-dI
daddy's	'd{-dIz
daft	'd#ft
daisy	'd1-zI
dance	'd#ns
dancer	'd#n-s@R
dancing	'd#n-sIN
danish	'd1-nIS
dark	'd#k
darling	'd#-lIN
day	'd1
dead	'dEd
dear	'd7R
dearie	'd7-rI
dearier	'd7-r7R
deborah	'dE-b@-r@
debra	'dE-br@
decided	dI-'s2-dId
dee	'di
deep	'dip
definitely	'dE-fI-nIt-lI
delitt	d@-'lIt
deserves	dI-'z3vz
desperately	'dE-sp@-r@t-lI
dessert	dI-'z3t
did	'dId
didn't	'dI-dHt
difference	'dI-fr@ns
different	'dI-fr@nt
difficult	'dI-fI-k@lt
din	'dIn
din-dins	'dIn-dInz
dinner	'dI-n@R
dinners	'dI-n@z
dins	'dInz
dirty	'd3-tI
disagreement	"dIs-@-'gri-m@nt
disco	'dI-sk5
dishes	'dI-SIz
distract	dI-'str{kt
distracting	dI-'str{k-tIN
disturbing	dI-'st3-bIN
dived	'd2vd
do	'du
doctors	'dQk-t@z
does	'dVz
