word	phon
spinach	'spI-nI_
spit	'spIt
splash	'spl{S
splashing	'spl{-SIN
splish	'splIS
splosh	'splQS
sponge	'spVn_
sponser	'spQn-s@R
sports	'sp$ts
spuddies	'spV-dIz
spuds	'spVdz
squeaky	'skwi-kI
squeeze	'skwiz
squiggly	'skwI-gP-I
stairs	'st8z
stand	'st{nd
standing	'st{n-dIN
stands	'st{ndz
star	'st#R
staring	'st8-rIN
start	'st#t
starts	'st#ts
starved	'st#vd
stay	'st1
staying	'st1-IN
steak	'st1k
stern	'st3n
steve	'stiv
stew	'stju
stick	'stIk
sticking	'stI-kIN
sticks	'stIks
stiff	'stIf
still	'stIl
stockport	'stQk-p$t
stomach	'stV-m@k
stone	'st5n
stop	'stQp
stopped	'stQpt
stories	'st$-rIz
story	'st$-rI
straight	'str1t
straighten	'str1-tH
strangle	'str{N-gP
strawberry	'str$-b@-rI
stretch	'strEJ
stretching	'strE-JIN
striped	'str2pt
strong	'strQN
struggle	'strV-gP
struggling	'strV-glIN
stuck	'stVk
stuff	'stVf
stupid	'stju-pId
substantial	s@b-'st{n-SP
such	'sVJ
suck	'sVk
sucked	'sVkt
suckin'	'sV-kIn
sucking	'sV-kIN
suds	'sVdz
suit	'sut
sun	'sVn
sunbathe	'sVn-b1D
sunhat	'sVn-'h{t
sunlight	'sVn-l2t
sunshine	'sVn-S2n
supper	'sV-p@R
suppose	s@-'p5z
supposed	s@-'p5zd
suprise	s@-'pr2z
sure	'S$R
surely	'S$-lI
surprise	s@-'pr2z
swallow	'swQ-l5
swan	'swQn
swearing	'sw8-rIN
sweater's	'swE-t@z
sweatheart	'swit-h#t
sweeper	'swi-p@R
sweepers	'swi-p@z
sweeps	'swips
sweepy	'swi-pI
sweet	'swit
sweetheart	'swit-h#t
sweetie	'swi-tI
sweetpea	'swit-pI
swim	'swIm
swimming	'swI-mIN
swing	'swIN
swinging	'swI-NIN
sylvester	sil-'vE-st@R
system	'sI-st@m
t'ave	't{v
t-shirt	'ti-'S3t
ta	't#
ta-ta's	't#-'t#
tail	't1l
take	't1k
taken	't1-k@n
takes	't1ks
taking	't1-kIN
talc	't{lk
tale	't1l
tales	't1lz
talk	't$k
talking	't$-kIN
tape	't1p
taste	't1st
tastes	't1sts
tasting	't1-stIN
tasty	't1-stI
tea	'ti
tea-time	'ti-t2m
teach	'tiJ
teaches	'ti-JIz
teaching	'ti-JIN
teapot	'ti-pQt
tears	't7z
teasing	'ti-zIN
ted	'tEd
teddy	'tE-dI
teddy's	'tE-dIz
teeth	'tiT
teething	'ti-DIN
teggypegs	'tE-dI-pEgz
telephone	'tE-lI-f5n
television	'tE-lI-"vI-ZH
tell	'tEl
telling	'tE-lIN
telly	'tE-lI
temper	'tEm-p@R
tempered	'tEm-p@d
ten	'tEn
tennis	'tE-nIs
terrible	'tE-r@-bP
terribly	'tE-r@-blI
than	D@n
thank	'T{Nk
that	'D{t
that'll	'D{-tP
that's	'D{ts
thats	'D{ts
the	D@
their	'D8
them	'DEm
then	'DEn
there	'D8R
there's	'D8z
theres	'D8z
these	'Diz
they	'D1
they'd	'D1d
they'll	'D1-@l
they're	'D1-@R
they've	'D1v
thicker	'TI-k@R
thing	'TIN
things	'TINz
think	'TINk
thinking	'TIN-kIN
thinks	'TINks
third	'T3d
thirsty	'T3-stI
this	'DIs
thomas	'tQ-m@s
those	'D5z
though	'D5
thought	'T$t
three	'Tri
throat	'Tr5t
through	'Tru
throw	'Tr5
throwing	'Tr5-IN
thu	'TV
thumb	'TVm
thumbs	'TVmz
thunder	'TVn-d@R
tickle	'tI-kP
tickles	'tI-kPz
tickling	'tI-klIN
ticklish	'tI-kP-IS
tickly	'tIk-lI
tickly-poo	'tIk-lI-'pu
ticks	'tIks
ticky	'tI-kI
tiddley	'tId-lI
tied	't2d
tight	't2t
till	'tIl
time	't2m
tin	'tIn
tiny	't2-nI
tired	't2-@d
tiredy	't2-@-dI
tis	'tIz
tissue	'tI-Su
tit	'tIt
tits	'tIts
to	t@
today	t@-'d1
toe	't5
toenails	't5-n1lz
toes	't5z
together	t@-'gE-D@R
told	't5ld
tomorrow	t@-'mQ-r5
tongue	'tVN
tonight	t@-'n2t
tons	'tVnz
too	'tu
took	'tUk
toot	'tut
tooth	'tuT
toothie's	'tu-Tiz
top	'tQp
tossles	'tQ-s@lz
touch	'tVJ
touching	'tV-JIN
tour	't9R
towel	't6-@l
toy	't4
toys	't4z
trai	'tr1
treasure	'trE-Z@R
treasuroooo	'trE-Z@-'ru
treazh	'trEZ
tree	'tri
trim	'trIm
trouble	'trV-bP
true	'tru
try	'tr2
trying	'tr2-IN
tub	'tVb
tuba	'tju-b@
tubby	'tV-bI
tuesday	'tjuz-dI
tum	'tVm
tumma	'tV-m@
tummy	'tV-mI
tummy'll	'tV-mI-@l
turn	't3n
turned	't3nd
turning	't3-nIN
tv	'ti-'vi
twelve	'twElv
twice	'tw2s
twist	'twIst
two	'tu
type	't2p
typical	'tI-pI-kP
ugh	'Vx
uh	'V
uh-hmm	'V-h@m
uh-huh	V-'hV
uncle	'VN-kP
unconsolable	'In-k@n-'s5-l@-bP
under	'Vn-d@R
underneath	"Vn-d@-'niT
underskirt	'Vn-d@R-'sk3t
undress	"Vn-'drEs
unhappy	Vn-'h{-pI
unintelligible	'Vn-In-'tE-lI-_@-bP
unsettled	"Vn-'sE-tPd
until	@n-'tIl
up	'Vp
ups	'Vps
ups-a-daisy	'Vps-@-'d1-zI
upset	Vp-'sEt
upside	'Vp-s2d
upstairs	"Vp-'st8z
us	'Vs
use	'jus
usually	'ju-Z@-lI
very	'vE-rI
vest	'vEst
vesty	'vE-stI
viking	'v2-kIN
vikings	'v2-kINz
violent	'v2-@-l@nt
visitors	'vI-zI-t@z
wages	'w1-_Iz
wait	'w1t
waiting	'w1-tIN
wake	'w1k
waking	'w1-kIN
walk	'w$k
walkies	'w$-kIz
walks	'w$ks
want	'wQnt
wanted	'wQn-tId
wanting	'wQn-tIN
wants	'wQnts
warm	'w$m
warning	'w$-nIN
was	w@z
wash	'wQS
washed	'wQSt
washing	'wQ-SIN
wasn't	'wQ-zHt
watch	'wQJ
watched	'wQJt
watching	'wQ-JIN
water	'w$-t@R
wave	'w1v
waving	'w1-vIN
way	'w1
ways	'w1z
we	'wi
we'd	'wid
we'll	'wil
we're	'w7R
we've	'wiv
wear	'w8R
weather	'wE-D@R
wednesday	'wEnz-dI
wee	'wi
weeks	'wiks
weewee	'wi-wi
weigh	'w1
weighed	'w1d
well	'wEl
went	'wEnt
were	'w3R
weren't	'w3nt
wet	'wEt
what	'wQt
what'll	'wQ-tP
what're	'wQ-t@R
what's	'wQts
what've	'wQ-t@v
when	'wEn
where	'w8R
where're	'w8-r@R
where's	'w8z
where've	'w8-r@v
whether	'wE-D@R
whey	'w1
which	'wIJ
while	'w2l
whiner	'w2-n@R
whites	'w2ts
whiz	'wIz
who	'hu
who're	'huR
who's	'huz
whoa	'w5
whole	'h5l
whoo	'hu
whoop	'wup
whoops	'wups
whoops-a-daisy	'wups-@-'d1-zI
whoopsie	'wup-sI
whos	'huz
whose	'huz
why	'w2
whyn't	'w2nt
wicked	'wI-kId
widdle	'wI-dP
wide	'w2d
wiggler	'wI-gP-@R
will	'wIl
win	'wIn
wind	'wInd
wind's	'w2ndz
windies	'wIn-dIz
window	'wIn-d5
windows	'wIn-d5z
windy	'wIn-dI
wings	'wINz
winking	'wIN-kIN
wipe	'w2p
wiped	'w2pt
wire	'w2-@R
wise	'w2z
wish	'wIS
with	'wID
without	wI-'D6t
wobble	'wQ-bP
woke	'w5k
woken	'w5-k@n
won't	'w5nt
wonder	'wVn-d@R
wondering	'wVn-d@-rIN
work	'w3k
working	'w3-kIN
works	'w3ks
world	'w3ld
worried	'wV-rId
worry	'wV-rI
worst	'w3st
worth	'w3T
wotsiting	'wQt-sI-tIN
would	'wUd
wouldn't	'wU-dHt
wrap	'r{p
wrestle	'rE-sP
wrestling	'rE-slIN
wriggler	'rI-gP-@R
wrong	'rQN
ya	j@
yawn	'j$n
yeah	'j8
years	'j7z
yellow	'jE-l5
yes	'jEs
yesterday	'jE-st@-dI
yet	'jEt
you	'ju
you'd	'jud
you'll	'jul
you're	'j9R
you've	'juv
young	'jVN
your	'j$R
yours	'j$z
yourself	j$-'sElf
yum	'jVm
zee	'zi
zunc	'zVNk
shh	S
ssh	S
mummie	'mV-mI
mummie's	'mV-mIz
mummmy's	'mV-mIz
mummie'll	'mV-mI-@l
tellie	'tE-lI
handie	'h{n-dI
pottie	'pQ-tI
bathie	'b#-TI
ruskie	'rVs-kI
headie	'hE-dI
chinnie	'JI-nI
hankie	'h{N-kI
nappie	'n{-pI
drinkie	'drIN-kI
rolly	'r5-lI
rollie	'r5-lI
polly	'p5-lI
pollie	'p5-lI
deary	'd7-rI
hiccough	'hI-kVp
hiccoughs	'hI-kVps
poo	'phu
lew	'lu
&hmm	'hF
&er	'3
&eh	'1
&ha	'h#
&mm	'm
&ah	'#
&uh	'V
&hah	'h#
whee	'wi
treas	'trEZ
hee	'hi
oo	'u
